"";"Product_type";"Product_ID";"Prices";"5Stars";"4Stars";"3Stars";"2Stars";"1Stars";"Positive_service_review";"Negative_service_review";"Would_consumer_recomend__product";"Best_seller_rank";"Weigth";"Depth";"Width";"Heigth";"Profit_margin";"Volume";"Relative_Price";"Environment_Impact";"Durability_standard"
"1";"PC";101;949;3;3;2;0;0;2;0;0,9;1967;25,8;"23.94";6,62;16,89;0,15;12;-0,96;1;0,47
"2";"PC";102;2249,99;2;1;0;0;0;1;0;0,9;4806;50;"35";31,75;19;0,25;8;-0,29;1;0,9
"3";"PC";103;399;3;0;0;0;0;1;0;0,9;12076;17,4;"10.5";8,3;10,2;0,08;12;1,85;1;0,53
"4";"Laptop";104;409,99;49;19;8;3;9;7;8;0,8;109;5,7;"15";9,9;1,3;0,08;196;-0,78;1;0,48
"5";"Laptop";105;1079,99;58;31;11;7;36;7;20;0,7;268;7;"12.9";0,3;8,9;0,09;232;-0,38;1;0,35
"6";"Accessories";106;114,22;83;30;10;9;40;12;5;0,3;64;1,6;"5.8";4;1;0,05;332;-0,33;1;0,35
"7";"Accessories";107;379,99;11;3;0;0;1;3;0;0,9;NA;7,3;"6.7";10,3;11,5;0,05;44;0,22;1;0,12
"8";"Accessories";108;65,29;33;19;12;5;9;5;3;0,7;2;12;"7.9";6,7;2,2;0,05;132;-0,27;0;0,6
"9";"Accessories";109;119,99;16;9;2;0;2;2;1;0,8;NA;1,8;"10.6";9,4;4,7;0,05;64;-1,32;1;0,77
"10";"Accessories";110;16,99;10;1;1;0;0;2;0;0,9;18;0,75;"10.7";13,1;0,6;0,05;40;1,15;0;0,51
"11";"Accessories";111;6,55;21;2;2;4;15;2;1;0,5;NA;1;"7.3";7;1,6;0,05;84;0,7;0;0,86
"12";"Accessories";112;15;75;25;6;3;3;9;2;0,2;7;2,2;"21.3";1,8;7,8;0,05;300;-1,32;0;0,2
"13";"Accessories";113;52,5;10;8;5;0;1;2;0;0,8;NA;1,1;"15.6";3;15;0,05;40;-0,63;0;0,69
"14";"Accessories";114;21,08;313;62;13;8;16;44;3;0,9;6;0,35;"5.7";3,5;8,3;0,05;1252;-0,15;1;0,32
"15";"Accessories";115;18,98;349;118;27;7;5;57;3;0,9;NA;0,6;"1.7";13,5;10,2;0,05;1396;1,05;1;0,57
